anio,eleccion,provinciaId,provincia,departamentoId,departamento,partidoId,partido,votos
2009,DN,2,Buenos Aires,51,General Rodriguez,14,OBRERO,298
2009,DN,2,Buenos Aires,16,Campana,14,OBRERO,1194
2009,DN,2,Buenos Aires,35,Escobar,14,OBRERO,49
2009,DN,2,Buenos Aires,45,Las Heras,14,OBRERO,385
2009,DN,2,Buenos Aires,52,General San Martin,14,OBRERO,2559
2009,DN,2,Buenos Aires,134,Hurlingham,14,OBRERO,1279
2009,DN,2,Buenos Aires,133,Ituzaingo,14,OBRERO,975
2009,DN,2,Buenos Aires,129,Jose C Paz,14,OBRERO,1364
2009,DN,2,Buenos Aires,71,Lujan,14,OBRERO,413
2009,DN,2,Buenos Aires,130,Malvinas Argentinas,14,OBRERO,1780
2009,DN,2,Buenos Aires,75,Marcos Paz,14,OBRERO,356
2009,DN,2,Buenos Aires,118,Tres de Febrero,14,OBRERO,2017
2009,DN,2,Buenos Aires,76,Mercedes,14,OBRERO,1002
2009,DN,2,Buenos Aires,77,Merlo,14,OBRERO,3318
2009,DN,2,Buenos Aires,79,Moreno,14,OBRERO,2587
2009,DN,2,Buenos Aires,80,Moron,14,OBRERO,1342
2009,DN,2,Buenos Aires,81,Navarro,14,OBRERO,34
2009,DN,2,Buenos Aires,89,Pilar,14,OBRERO,1132
2009,DN,2,Buenos Aires,105,San Fernando,14,OBRERO,984
2009,DN,2,Buenos Aires,106,San Isidro,14,OBRERO,1538
2009,DN,2,Buenos Aires,53,San Miguel,14,OBRERO,1257
2009,DN,2,Buenos Aires,110,Suipacha,14,OBRERO,21
2009,DN,2,Buenos Aires,113,Tigre,14,OBRERO,1695
2009,DN,2,Buenos Aires,122,Vicente Lopez,14,OBRERO,1823
2009,DN,2,Buenos Aires,51,General Rodriguez,51,POPULAR DE LA RECONSTRUCCION,97
2009,DN,2,Buenos Aires,16,Campana,51,POPULAR DE LA RECONSTRUCCION,264
2009,DN,2,Buenos Aires,35,Escobar,51,POPULAR DE LA RECONSTRUCCION,18
2009,DN,2,Buenos Aires,45,Las Heras,51,POPULAR DE LA RECONSTRUCCION,147
2009,DN,2,Buenos Aires,52,General San Martin,51,POPULAR DE LA RECONSTRUCCION,536
2009,DN,2,Buenos Aires,134,Hurlingham,51,POPULAR DE LA RECONSTRUCCION,205
2009,DN,2,Buenos Aires,133,Ituzaingo,51,POPULAR DE LA RECONSTRUCCION,186
2009,DN,2,Buenos Aires,129,Jose C Paz,51,POPULAR DE LA RECONSTRUCCION,374
2009,DN,2,Buenos Aires,71,Lujan,51,POPULAR DE LA RECONSTRUCCION,113
2009,DN,2,Buenos Aires,130,Malvinas Argentinas,51,POPULAR DE LA RECONSTRUCCION,521
2009,DN,2,Buenos Aires,75,Marcos Paz,51,POPULAR DE LA RECONSTRUCCION,82
2009,DN,2,Buenos Aires,118,Tres de Febrero,51,POPULAR DE LA RECONSTRUCCION,400
2009,DN,2,Buenos Aires,76,Mercedes,51,POPULAR DE LA RECONSTRUCCION,146
2009,DN,2,Buenos Aires,77,Merlo,51,POPULAR DE LA RECONSTRUCCION,752
2009,DN,2,Buenos Aires,79,Moreno,51,POPULAR DE LA RECONSTRUCCION,709
2009,DN,2,Buenos Aires,80,Moron,51,POPULAR DE LA RECONSTRUCCION,285
2009,DN,2,Buenos Aires,81,Navarro,51,POPULAR DE LA RECONSTRUCCION,17
2009,DN,2,Buenos Aires,89,Pilar,51,POPULAR DE LA RECONSTRUCCION,350
2009,DN,2,Buenos Aires,105,San Fernando,51,POPULAR DE LA RECONSTRUCCION,193
2009,DN,2,Buenos Aires,106,San Isidro,51,POPULAR DE LA RECONSTRUCCION,308
2009,DN,2,Buenos Aires,53,San Miguel,51,POPULAR DE LA RECONSTRUCCION,378
2009,DN,2,Buenos Aires,110,Suipacha,51,POPULAR DE LA RECONSTRUCCION,11
2009,DN,2,Buenos Aires,113,Tigre,51,POPULAR DE LA RECONSTRUCCION,378
2009,DN,2,Buenos Aires,122,Vicente Lopez,51,POPULAR DE LA RECONSTRUCCION,336
2009,DN,2,Buenos Aires,51,General Rodriguez,198,AUTENTICO,59
2009,DN,2,Buenos Aires,16,Campana,198,AUTENTICO,174
2009,DN,2,Buenos Aires,35,Escobar,198,AUTENTICO,10
2009,DN,2,Buenos Aires,45,Las Heras,198,AUTENTICO,78
2009,DN,2,Buenos Aires,52,General San Martin,198,AUTENTICO,339
2009,DN,2,Buenos Aires,134,Hurlingham,198,AUTENTICO,142
2009,DN,2,Buenos Aires,133,Ituzaingo,198,AUTENTICO,122
2009,DN,2,Buenos Aires,129,Jose C Paz,198,AUTENTICO,251
2009,DN,2,Buenos Aires,71,Lujan,198,AUTENTICO,68
2009,DN,2,Buenos Aires,130,Malvinas Argentinas,198,AUTENTICO,270
2009,DN,2,Buenos Aires,75,Marcos Paz,198,AUTENTICO,61
2009,DN,2,Buenos Aires,118,Tres de Febrero,198,AUTENTICO,285
2009,DN,2,Buenos Aires,76,Mercedes,198,AUTENTICO,84
2009,DN,2,Buenos Aires,77,Merlo,198,AUTENTICO,479
2009,DN,2,Buenos Aires,79,Moreno,198,AUTENTICO,424
2009,DN,2,Buenos Aires,80,Moron,198,AUTENTICO,217
2009,DN,2,Buenos Aires,81,Navarro,198,AUTENTICO,15
2009,DN,2,Buenos Aires,89,Pilar,198,AUTENTICO,247
2009,DN,2,Buenos Aires,105,San Fernando,198,AUTENTICO,154
2009,DN,2,Buenos Aires,106,San Isidro,198,AUTENTICO,188
2009,DN,2,Buenos Aires,53,San Miguel,198,AUTENTICO,209
2009,DN,2,Buenos Aires,110,Suipacha,198,AUTENTICO,2
2009,DN,2,Buenos Aires,113,Tigre,198,AUTENTICO,281
2009,DN,2,Buenos Aires,122,Vicente Lopez,198,AUTENTICO,246
2009,DN,2,Buenos Aires,51,General Rodriguez,206,MOV. POP. PARA LA RECONQUISTA,59
2009,DN,2,Buenos Aires,16,Campana,206,MOV. POP. PARA LA RECONQUISTA,161
2009,DN,2,Buenos Aires,35,Escobar,206,MOV. POP. PARA LA RECONQUISTA,11
2009,DN,2,Buenos Aires,45,Las Heras,206,MOV. POP. PARA LA RECONQUISTA,62
2009,DN,2,Buenos Aires,52,General San Martin,206,MOV. POP. PARA LA RECONQUISTA,279
2009,DN,2,Buenos Aires,134,Hurlingham,206,MOV. POP. PARA LA RECONQUISTA,111
2009,DN,2,Buenos Aires,133,Ituzaingo,206,MOV. POP. PARA LA RECONQUISTA,133
2009,DN,2,Buenos Aires,129,Jose C Paz,206,MOV. POP. PARA LA RECONQUISTA,227
2009,DN,2,Buenos Aires,71,Lujan,206,MOV. POP. PARA LA RECONQUISTA,70
2009,DN,2,Buenos Aires,130,Malvinas Argentinas,206,MOV. POP. PARA LA RECONQUISTA,284
2009,DN,2,Buenos Aires,75,Marcos Paz,206,MOV. POP. PARA LA RECONQUISTA,53
2009,DN,2,Buenos Aires,118,Tres de Febrero,206,MOV. POP. PARA LA RECONQUISTA,163
2009,DN,2,Buenos Aires,76,Mercedes,206,MOV. POP. PARA LA RECONQUISTA,83
2009,DN,2,Buenos Aires,77,Merlo,206,MOV. POP. PARA LA RECONQUISTA,444
2009,DN,2,Buenos Aires,79,Moreno,206,MOV. POP. PARA LA RECONQUISTA,573
2009,DN,2,Buenos Aires,80,Moron,206,MOV. POP. PARA LA RECONQUISTA,141
2009,DN,2,Buenos Aires,81,Navarro,206,MOV. POP. PARA LA RECONQUISTA,14
2009,DN,2,Buenos Aires,89,Pilar,206,MOV. POP. PARA LA RECONQUISTA,359
2009,DN,2,Buenos Aires,105,San Fernando,206,MOV. POP. PARA LA RECONQUISTA,162
2009,DN,2,Buenos Aires,106,San Isidro,206,MOV. POP. PARA LA RECONQUISTA,152
2009,DN,2,Buenos Aires,53,San Miguel,206,MOV. POP. PARA LA RECONQUISTA,210
2009,DN,2,Buenos Aires,110,Suipacha,206,MOV. POP. PARA LA RECONQUISTA,8
2009,DN,2,Buenos Aires,113,Tigre,206,MOV. POP. PARA LA RECONQUISTA,266
2009,DN,2,Buenos Aires,122,Vicente Lopez,206,MOV. POP. PARA LA RECONQUISTA,135
2009,DN,2,Buenos Aires,51,General Rodriguez,222,VIDA - VOL. P / INT. DES. AUT. ENT.,3
2009,DN,2,Buenos Aires,16,Campana,222,VIDA - VOL. P / INT. DES. AUT. ENT.,12
